decade,position,artist,song,indicativerevenue,us,uk,de,fr,ca,au
"2020s","1","The Weeknd","Blinding Lights","48670.1116127989","1","1","1","1","1","1"
"2020s","2","Glass Animals","Heat Waves","43517.0377329027","1","5","2","14","1","1"
"2020s","3","Harry Styles","As It Was","39017.8589551821","1","1","1","1","1","1"
"2020s","4","The Kid LAROI & Justin Bieber","Stay","34620.6127738955","1","2","1","3","1","1"
"2020s","5","The Weeknd & Ariana Grande","Save Your Tears","34387.6824645675","1","2","5","6","1","3"
"2020s","6","Ed Sheeran","Bad Habits","33060.2191227259","2","1","1","4","1","1"
"2020s","7","Dua Lipa & DaBaby","Levitating","31441.9422157205","2","5","16","24","1","4"
"2020s","8","Ed Sheeran","Shivers","28055.8478385754","4","1","1","10","2","2"
"2020s","9","Miley Cyrus","Flowers","27270.0167346875","1","1","1","1","1","1"
"2020s","10","Elton John & Dua Lipa","Cold Heart","26444.8982835661","7","1","3","9","1","1"
"2020s","11","Taylor Swift","Anti-Hero","25047.7017561076","1","1","7","32","1","1"
"2020s","12","David Guetta & Bebe Rexha","I'm Good (Blue)","24190.7005773126","4","1","1","4","1","1"
"2020s","13","24kGoldn & Iann Dior","Mood","24122.8716567535","1","1","1","7","1","1"
"2020s","14","Olivia Rodrigo","Good 4 U","23325.5359326709","1","1","1","21","1","1"
"2020s","15","SZA","Kill Bill","21173.2377567023","1","3","17","34","3","1"
"2020s","16","Metro Boomin, The Weeknd & 21 Savage","Creepin'","20141.2220551819","3","7","10","8","1","7"
"2020s","17","Lil Nas & & Jack Harlow","Industry Baby","19629.2051006234","1","3","9","3","3","4"
"2020s","18","Tones & I","Dance Monkey","19504.6030694963","4","5","1","3","1","1"
"2020s","19","DaBaby & Roddy Ricch","Rockstar","19417.546339074","1","1","3","6","1","1"
"2020s","20","Sam Smith & Kim Petras","Unholy","19279.2334510358","1","1","2","5","1","1"
"2020s","21","Morgan Wallen","Last Night","18670.9567325","1","28","-","-","1","1"
"2020s","22","Adele","Easy On Me","17755.9473827572","1","1","1","2","1","1"
"2020s","23","Dua Lipa","Don't Start Now","17735.713185345","2","3","10","12","3","2"
"2020s","24","Lil Nas X","Montero (Call Me By Your Name)","17188.9457148511","1","1","2","1","1","1"
"2020s","25","OneRepublic","I Ain't Worried","17078.3308780907","6","3","19","7","3","2"
"2020s","26","Doja Cat & SZA","Kiss Me More","16454.7868322155","3","3","31","23","5","2"
"2020s","27","Lewis Capaldi","Someone You Loved","16404.5473461492","4","6","29","52","5","16"
"2020s","28","Gayle","abcdefu","16035.9074187363","3","1","1","4","2","2"
"2020s","29","Rema & Selena Gomez","Calm Down","16006.9815336893","3","-","-","-","1","11"
"2020s","30","Harry Styles","Watermelon Sugar","15871.4893966763","1","4","15","31","3","5"
"2020s","31","Lizzo","About Damn Time","15684.22574021","1","3","34","52","2","3"
"2020s","32","Zach Bryan","Something In The Orange","15408.8755718707","10","70","-","-","14","8"
"2020s","33","Tom Odell","Another Love","15391.3584011462","-","10","9","11","34","21"
"2020s","34","Roddy Ricch","The Box","15248.7257516318","1","2","12","7","1","4"
"2020s","35","Lil Nas X","Thats What I Want","15240.9754233284","8","10","11","39","5","7"
"2020s","36","Morgan Wallen","You Proof","15092.2959415933","5","-","-","-","9","20"
"2020s","37","Jawsh 685 & Jason Derulo","Savage Love (Laxed - Siren Beat)","14854.7015444854","1","1","1","6","1","1"
"2020s","38","Imagine Dragons & JID","Enemy","14750.3228761994","5","17","4","6","5","15"
"2020s","39","Justin Bieber","Ghost","14661.8168488184","5","19","79","-","2","11"
"2020s","40","Mariah Carey","All I Want For Christmas Is You","14394.4578710272","1","1","1","1","1","1"
"2020s","41","Olivia Rodrigo","Drivers License","14394.3437434661","1","1","2","2","1","1"
"2020s","42","Lewis Capaldi","Before You Go","14389.632503476","9","1","42","49","16","7"
"2020s","43","Doja Cat","Woman","14256.5759003037","7","13","18","8","12","16"
"2020s","44","Post Malone","Circles","14245.1499119656","1","19","37","77","3","5"
"2020s","45","Justin Bieber & Daniel Caesar & Giveon","Peaches","13709.0742720701","1","2","2","7","1","1"
"2020s","46","Chris Brown","Under The Influence","13513.0412049801","12","7","12","20","13","5"
"2020s","47","The Kid LAROI","Without You","13328.4257582696","8","2","13","75","7","1"
"2020s","48","Chris Brown & Young Thug","Go Crazy","13209.0989378618","3","10","-","-","41","9"
"2020s","49","Harry Styles","Adore You","13173.93211066","6","7","83","126","10","7"
"2020s","50","Jack Harlow","First Class","13162.0006568051","1","2","2","47","1","1"
"2020s","51","Steve Lacy","Bad Habit","13123.9334292732","1","8","-","-","10","3"
"2020s","52","Luke Combs","Fast Car","13067.2548640718","2","30","-","-","2","2"
"2020s","53","The Weeknd & Ariana Grande","Die For You","13030.7127672457","1","-","-","-","2","-"
